Year,Month,Zone,activity_degC_days_m2,mean_area_km2,mean_duration_days,mean_intensity_degC,number_of_events,sum_area_km2
1993,3,NW,0.0,,,,,
1993,3,S,0.0,,,,,
1993,3,SW,0.0,,,,,
1993,4,NW,0.0,,,,,
1993,4,S,0.0,,,,,
1993,4,SW,0.0,,,,,
1993,5,NW,0.0,,,,,
1993,5,S,0.0,,,,,
1993,5,SW,0.0,,,,,
1993,6,NW,70705319697.97147,76.22039697930978,5.714285714285714,1.4598928689956665,14.0,1067.0855577103368
1993,6,S,0.0,,,,,
1993,6,SW,0.0,,,,,
1993,7,NW,0.0,,,,,
1993,7,S,17298920241.863926,33.14608147676231,5.666666666666667,1.8678640127182007,3.0,99.43824443028694
1993,7,SW,0.0,,,,,
1993,8,NW,0.0,,,,,
1993,8,S,1742360747.7939634,,,1.4117774963378906,,
1993,8,SW,0.0,,,,,
1993,9,NW,0.0,,,,,
1993,9,S,0.0,,,,,
1993,9,SW,0.0,,,,,
1993,10,NW,0.0,,,,,
1993,10,S,0.0,,,,,
1993,10,SW,0.0,,,,,
1993,11,NW,0.0,,,,,
1993,11,S,0.0,,,,,
1993,11,SW,0.0,,,,,
1993,12,NW,0.0,,,,,
1993,12,S,0.0,,,,,
1993,12,SW,0.0,,,,,
1994,1,NW,0.0,,,,,
1994,1,S,0.0,,,,,
1994,1,SW,0.0,,,,,
1994,2,NW,0.0,,,,,
1994,2,S,0.0,,,,,
1994,2,SW,0.0,,,,,
1994,3,NW,0.0,,,,,
1994,3,S,0.0,,,,,
1994,3,SW,0.0,,,,,
1994,4,NW,0.0,,,,,
1994,4,S,0.0,,,,,
1994,4,SW,0.0,,,,,
1994,5,NW,0.0,,,,,
1994,5,S,0.0,,,,,
1994,5,SW,0.0,,,,,
1994,6,NW,99487609520.83078,76.44537955492186,5.684210526315789,1.5603538751602173,19.0,1452.4622115435152
1994,6,S,0.0,,,,,
1994,6,SW,19130338303.83848,56.7079917635658,7.0,1.440284252166748,3.0,170.1239752906974
1994,7,NW,2817314289.171272,72.38805366641968,5.0,0.9500983953475952,1.0,72.38805366641968
1994,7,S,0.0,,,,,
1994,7,SW,0.0,,,,,
1994,8,NW,0.0,,,,,
1994,8,S,0.0,,,,,
1994,8,SW,0.0,,,,,
1994,9,NW,0.0,,,,,
1994,9,S,0.0,,,,,
1994,9,SW,0.0,,,,,
1994,10,NW,0.0,,,,,
1994,10,S,0.0,,,,,
1994,10,SW,0.0,,,,,
1994,11,NW,0.0,,,,,
1994,11,S,0.0,,,,,
1994,11,SW,0.0,,,,,
1994,12,NW,26081673953.908398,94.73410079469924,11.0,1.3341643810272217,3.0,284.2023023840978
1994,12,S,10807191933.538095,34.26895406531445,5.666666666666667,1.0828888416290283,3.0,102.80686219594337
1994,12,SW,103763145036.7629,43.92114327769254,9.8,1.1724638938903809,15.0,658.8171491653881
1995,1,NW,20927285859.64867,84.12793545842429,5.0,1.1918013095855713,6.0,504.76761275054577
1995,1,S,0.0,,,,,
1995,1,SW,0.0,,,,,
1995,2,NW,0.0,,,,,
1995,2,S,25444844084.765316,32.584645182486234,6.5,1.0374704599380493,6.0,195.50787109491742
1995,2,SW,0.0,,,,,
1995,3,NW,6738302857.725339,95.84966563786614,5.0,1.1665009260177612,2.0,191.69933127573228
1995,3,S,0.0,,,,,
1995,3,SW,0.0,,,,,
1995,4,NW,0.0,,,,,
1995,4,S,29924546760.17875,33.37065599447278,7.8,1.225888967514038,5.0,166.85327997236388
1995,4,SW,38777839073.44785,39.72150410080999,6.857142857142857,1.2058860063552856,7.0,278.0505287056699
1995,5,NW,0.0,,,,,
1995,5,S,0.0,,,,,
1995,5,SW,0.0,,,,,
1995,6,NW,0.0,,,,,
1995,6,S,0.0,,,,,
1995,6,SW,0.0,,,,,
1995,7,NW,413393387824.7494,79.67607144625413,16.956521739130434,1.7609130144119263,23.0,1832.5496432638452
1995,7,S,0.0,,,,,
1995,7,SW,60481782976.32157,49.978255756005126,9.11111111111111,1.1804516315460205,9.0,449.8043018040461
1995,8,NW,5994356941.32156,62.311128261543374,5.0,1.6665111780166626,2.0,124.62225652308675
1995,8,S,0.0,,,,,
1995,8,SW,46739034116.8533,46.40905314165756,6.2727272727272725,1.6721123456954956,11.0,510.4995845582332
1995,9,NW,3186432000.8248625,,,1.328805923461914,,
1995,9,S,0.0,,,,,
1995,9,SW,24210080204.63255,,,1.4396722316741943,,
1995,10,NW,0.0,,,,,
1995,10,S,11553469039.436298,33.70751777103836,5.0,1.8723955154418945,2.0,67.41503554207672
1995,10,SW,49272946001.79488,39.43306426078172,28.8,1.827749252319336,5.0,197.1653213039086
1995,11,NW,72794174115.00223,67.90961609833803,6.583333333333333,1.5258833169937134,12.0,814.9153931800564
1995,11,S,122491372073.15717,33.466902216348686,17.857142857142858,1.5565991401672363,7.0,234.26831551444081
1995,11,SW,327923071328.3344,52.670695447108045,13.6,1.7666165828704834,15.0,790.0604317066206
1995,12,NW,129766862133.00017,77.47291928957752,24.20689655172414,1.1826077699661255,29.0,2246.714659397748
1995,12,S,3098842890.278886,35.39182665386684,12.0,1.257352352142334,1.0,35.39182665386684
1995,12,SW,58431846489.77834,50.0805404503758,21.272727272727273,1.0724809169769287,11.0,550.8859449541338
1996,1,NW,386309539527.7559,86.5746907254483,6.384615384615385,1.188761830329895,13.0,1125.470979430828
1996,1,S,38255962368.20663,33.1460814767623,8.0,1.0983085632324219,6.0,198.87648886057377
1996,1,SW,132492314101.98853,39.88192668173594,10.333333333333334,1.1669821739196777,3.0,119.64578004520783
1996,2,NW,42948058969.03428,65.67137496568373,8.0,1.1229503154754639,1.0,65.67137496568373
1996,2,S,0.0,,,,,
1996,2,SW,0.0,,,,,
1996,3,NW,0.0,,,,,
1996,3,S,0.0,,,,,
1996,3,SW,0.0,,,,,
1996,4,NW,5196417368.051129,89.15451550496665,5.0,1.785378098487854,1.0,89.15451550496665
1996,4,S,0.0,,,,,
1996,4,SW,0.0,,,,,
1996,5,NW,0.0,,,,,
1996,5,S,0.0,,,,,
1996,5,SW,0.0,,,,,
1996,6,NW,0.0,,,,,
1996,6,S,38934788625.66623,33.14608147676232,6.777777777777778,1.87419593334198,9.0,298.3147332908609
1996,6,SW,3562409683.1831465,35.39182665386661,10.0,1.445444107055664,1.0,35.39182665386661
1996,7,NW,0.0,,,,,
1996,7,S,99259516205.48012,33.146081476762326,9.0,1.8318490982055664,6.0,198.87648886057394
1996,7,SW,71994632066.9422,44.482166797076864,7.4,1.388074517250061,10.0,444.8216679707687
1996,8,NW,0.0,,,,,
1996,8,S,0.0,,,,,
1996,8,SW,0.0,,,,,
1996,9,NW,0.0,,,,,
1996,9,S,0.0,,,,,
1996,9,SW,0.0,,,,,
1996,10,NW,0.0,,,,,
1996,10,S,0.0,,,,,
1996,10,SW,0.0,,,,,
1996,11,NW,0.0,,,,,
1996,11,S,0.0,,,,,
1996,11,SW,0.0,,,,,
1996,12,NW,0.0,,,,,
1996,12,S,0.0,,,,,
1996,12,SW,0.0,,,,,
1997,1,NW,0.0,,,,,
1997,1,S,0.0,,,,,
1997,1,SW,0.0,,,,,
1997,2,NW,69882214558.11232,73.45233126965509,71.0909090909091,1.087898850440979,22.0,1615.951287932412
1997,2,S,0.0,,,,,
1997,2,SW,45543077003.86745,46.2391788694102,43.5,1.0848631858825684,18.0,832.3052196493836
1997,3,NW,831599013554.6302,89.98973587128783,57.625,1.6289994716644287,8.0,719.9178869703027
1997,3,S,116190181677.13652,32.86536332962427,27.125,1.204445719718933,8.0,262.9229066369942
1997,3,SW,372581076286.96136,45.491423939350156,50.666666666666664,1.4116264581680298,3.0,136.47427181805048
1997,4,NW,993498832597.0702,85.80109550027466,9.0,1.9577319622039795,2.0,171.6021910005493
1997,4,S,89309617233.16788,33.03379421790712,6.9,1.3398422002792358,10.0,330.3379421790712
