year,duration,start_time,end_time,area,lat,lon
2006,13,1152576000000000000,1153699200000000000,32023208.88821012,36.875,351.625
2006,12,1157241600000000000,1158278400000000000,32023208.88821012,36.875,351.625
2006,20,1162425600000000000,1164153600000000000,32023208.88821012,36.875,351.625
2006,5,1165190400000000000,1165622400000000000,32023208.88821012,36.875,351.625
2007,5,1168992000000000000,1169424000000000000,32023208.88821012,36.875,351.625
2007,7,1192579200000000000,1193184000000000000,32023208.88821012,36.875,351.625
2008,6,1201392000000000000,1201910400000000000,32023208.88821012,36.875,351.625
2008,23,1203120000000000000,1205107200000000000,32023208.88821012,36.875,351.625
2009,8,1250467200000000000,1251158400000000000,32023208.88821012,36.875,351.625
2010,13,1271894400000000000,1273017600000000000,32023208.88821012,36.875,351.625
2010,8,1281312000000000000,1282003200000000000,32023208.88821012,36.875,351.625
2011,5,1301443200000000000,1301875200000000000,32023208.88821012,36.875,351.625
2011,66,1302480000000000000,1308182400000000000,32023208.88821012,36.875,351.625
2011,9,1309132800000000000,1309910400000000000,32023208.88821012,36.875,351.625
2011,25,1317168000000000000,1319328000000000000,32023208.88821012,36.875,351.625
2012,5,1336867200000000000,1337299200000000000,32023208.88821012,36.875,351.625
2013,5,1367798400000000000,1368230400000000000,32023208.88821012,36.875,351.625
2013,10,1372809600000000000,1373673600000000000,32023208.88821012,36.875,351.625
2013,23,1377820800000000000,1379808000000000000,32023208.88821012,36.875,351.625
2013,9,1380499200000000000,1381276800000000000,32023208.88821012,36.875,351.625
2013,6,1381881600000000000,1382400000000000000,32023208.88821012,36.875,351.625
2014,5,1400198400000000000,1400630400000000000,32023208.88821012,36.875,351.625
2014,20,1417305600000000000,1419033600000000000,32023208.88821012,36.875,351.625
2015,11,1430784000000000000,1431734400000000000,32023208.88821012,36.875,351.625
2015,30,1432339200000000000,1434931200000000000,32023208.88821012,36.875,351.625
2015,5,1435276800000000000,1435708800000000000,32023208.88821012,36.875,351.625
2015,10,1447545600000000000,1448409600000000000,32023208.88821012,36.875,351.625
2015,68,1449619200000000000,1455494400000000000,32023208.88821012,36.875,351.625
2016,12,1468800000000000000,1469836800000000000,32023208.88821012,36.875,351.625
2016,26,1471046400000000000,1473292800000000000,32023208.88821012,36.875,351.625
2017,11,1494028800000000000,1494979200000000000,32023208.88821012,36.875,351.625
2017,14,1495411200000000000,1496620800000000000,32023208.88821012,36.875,351.625
2017,20,1496966400000000000,1498694400000000000,32023208.88821012,36.875,351.625
2017,5,1503619200000000000,1504051200000000000,32023208.88821012,36.875,351.625
2017,50,1509062400000000000,1513382400000000000,32023208.88821012,36.875,351.625
2018,26,1537574400000000000,1539820800000000000,32023208.88821012,36.875,351.625
2019,6,1567555200000000000,1568073600000000000,32023208.88821012,36.875,351.625
2020,25,1580601600000000000,1582761600000000000,32023208.88821012,36.875,351.625
2020,15,1590278400000000000,1591574400000000000,32023208.88821012,36.875,351.625
2020,12,1595116800000000000,1596153600000000000,32023208.88821012,36.875,351.625
2020,6,1605916800000000000,1606435200000000000,32023208.88821012,36.875,351.625
2021,19,1617667200000000000,1619308800000000000,32023208.88821012,36.875,351.625
2021,5,1635206400000000000,1635638400000000000,32023208.88821012,36.875,351.625
2022,5,1652659200000000000,1653091200000000000,32023208.88821012,36.875,351.625
2022,6,1657843200000000000,1658361600000000000,32023208.88821012,36.875,351.625
2022,6,1668124800000000000,1668643200000000000,32023208.88821012,36.875,351.625
2022,33,1671667200000000000,1674518400000000000,32023208.88821012,36.875,351.625
2023,18,1679875200000000000,1681430400000000000,32023208.88821012,36.875,351.625
2023,19,1681862400000000000,1683504000000000000,32023208.88821012,36.875,351.625
2023,14,1687564800000000000,1688774400000000000,32023208.88821012,36.875,351.625
2023,20,1696377600000000000,1698105600000000000,32023208.88821012,36.875,351.625
2023,78,1702684800000000000,1709424000000000000,32023208.88821012,36.875,351.625
