Year,Month,Zone,Parameter,Value
1996,8,NW,activity_degC_days_m2,0.0
1996,8,NW,mean_intensity_degC,
1996,9,NW,activity_degC_days_m2,0.0
1996,9,NW,mean_intensity_degC,
1996,10,NW,activity_degC_days_m2,0.0
1996,10,NW,mean_intensity_degC,
1996,11,NW,activity_degC_days_m2,0.0
1996,11,NW,mean_intensity_degC,
1996,12,NW,activity_degC_days_m2,0.0
1996,12,NW,mean_intensity_degC,
1997,1,NW,activity_degC_days_m2,0.0
1997,1,NW,mean_intensity_degC,
1997,2,NW,activity_degC_days_m2,69882214558.11232
1997,2,NW,mean_area_km2,73.45233126965509
1997,2,NW,mean_duration_days,71.0909090909091
1997,2,NW,mean_intensity_degC,1.087898850440979
1997,2,NW,number_of_events,22.0
1997,2,NW,sum_area_km2,1615.951287932412
1997,3,NW,activity_degC_days_m2,831599013554.6302
1997,3,NW,mean_area_km2,89.98973587128783
1997,3,NW,mean_duration_days,57.625
1997,3,NW,mean_intensity_degC,1.6289994716644287
1997,3,NW,number_of_events,8.0
1997,3,NW,sum_area_km2,719.9178869703027
1997,4,NW,activity_degC_days_m2,993498832597.0702
1997,4,NW,mean_area_km2,85.80109550027466
1997,4,NW,mean_duration_days,9.0
1997,4,NW,mean_intensity_degC,1.9577319622039795
1997,4,NW,number_of_events,2.0
1997,4,NW,sum_area_km2,171.6021910005493
1997,5,NW,activity_degC_days_m2,301589265829.1535
1997,5,NW,mean_area_km2,63.43121049625687
1997,5,NW,mean_duration_days,13.333333333333334
1997,5,NW,mean_intensity_degC,1.7432501316070557
1997,5,NW,number_of_events,3.0
1997,5,NW,sum_area_km2,190.29363148877061
1997,6,NW,activity_degC_days_m2,108205540488.99916
1997,6,NW,mean_area_km2,80.20675700286769
1997,6,NW,mean_duration_days,5.733333333333333
1997,6,NW,mean_intensity_degC,1.5087919235229492
1997,6,NW,number_of_events,15.0
1997,6,NW,sum_area_km2,1203.1013550430152
1997,7,NW,activity_degC_days_m2,0.0
1997,7,NW,mean_intensity_degC,
1997,8,NW,activity_degC_days_m2,10987420835.560154
1997,8,NW,mean_area_km2,94.17631837311545
1997,8,NW,mean_duration_days,6.0
1997,8,NW,mean_intensity_degC,1.5819464921951294
1997,8,NW,number_of_events,2.0
1997,8,NW,sum_area_km2,188.3526367462309
1997,9,NW,activity_degC_days_m2,828315482.1173563
1997,9,NW,mean_area_km2,79.09921989218388
1997,9,NW,mean_duration_days,6.0
1997,9,NW,mean_intensity_degC,1.4069976806640625
1997,9,NW,number_of_events,1.0
1997,9,NW,sum_area_km2,79.09921989218388
1997,10,NW,activity_degC_days_m2,149183708529.07495
1997,10,NW,mean_area_km2,82.75311952388276
1997,10,NW,mean_duration_days,6.590909090909091
1997,10,NW,mean_intensity_degC,1.6636276245117188
1997,10,NW,number_of_events,22.0
1997,10,NW,sum_area_km2,1820.5686295254206
1997,11,NW,activity_degC_days_m2,39639933928.1793
1997,11,NW,mean_area_km2,92.98056716289453
1997,11,NW,mean_duration_days,5.857142857142857
1997,11,NW,mean_intensity_degC,1.5167477130889893
1997,11,NW,number_of_events,7.0
1997,11,NW,sum_area_km2,650.8639701402618
1997,12,NW,activity_degC_days_m2,63508983354.04505
1997,12,NW,mean_area_km2,84.2780307181402
1997,12,NW,mean_duration_days,7.7272727272727275
1997,12,NW,mean_intensity_degC,1.2243942022323608
1997,12,NW,number_of_events,11.0
1997,12,NW,sum_area_km2,927.0583378995423
1998,1,NW,activity_degC_days_m2,144723490212.82227
1998,1,NW,mean_area_km2,82.78392999600213
1998,1,NW,mean_duration_days,10.85
1998,1,NW,mean_intensity_degC,1.0602461099624634
1998,1,NW,number_of_events,20.0
